date,compute_type,customer_segment,compute_hours
2023-07-04,CPU Batch,Enterprise,3190
2023-07-04,CPU Batch,Mid-Market,1954
2023-07-04,CPU Batch,Startup,529
2023-07-04,CPU Batch,Research/Academic,792
2023-07-04,CPU Interactive,Enterprise,2068
2023-07-04,CPU Interactive,Mid-Market,1179
2023-07-04,CPU Interactive,Startup,924
2023-07-04,CPU Interactive,Research/Academic,1316
2023-07-05,GPU Training,Enterprise,12665
2023-07-05,GPU Training,Mid-Market,4884
2023-07-05,GPU Training,Startup,1774
2023-07-05,GPU Training,Research/Academic,3158
2023-07-05,GPU Inference,Enterprise,8352
2023-07-05,GPU Inference,Mid-Market,3488
2023-07-05,GPU Inference,Startup,1911
2023-07-05,GPU Inference,Research/Academic,1103
2023-07-05,CPU Batch,Enterprise,5815
2023-07-05,CPU Batch,Mid-Market,3124
2023-07-05,CPU Batch,Startup,819
2023-07-05,CPU Batch,Research/Academic,1593
2023-07-05,CPU Interactive,Enterprise,4103
2023-07-05,CPU Interactive,Mid-Market,2111
2023-07-05,CPU Interactive,Startup,1351
2023-07-05,CPU Interactive,Research/Academic,2542
2023-07-06,GPU Training,Enterprise,12546
2023-07-06,GPU Training,Mid-Market,4415
2023-07-06,GPU Training,Startup,1774
2023-07-06,GPU Training,Research/Academic,3179
2023-07-06,GPU Inference,Enterprise,7702
2023-07-06,GPU Inference,Mid-Market,3663
2023-07-06,GPU Inference,Startup,2109
2023-07-06,GPU Inference,Research/Academic,1209
2023-07-06,CPU Batch,Enterprise,6152
2023-07-06,CPU Batch,Mid-Market,3114
2023-07-06,CPU Batch,Startup,872
2023-07-06,CPU Batch,Research/Academic,1496
2023-07-06,CPU Interactive,Enterprise,4215
2023-07-06,CPU Interactive,Mid-Market,2133
2023-07-06,CPU Interactive,Startup,1052
2023-07-06,CPU Interactive,Research/Academic,2383
2023-07-07,GPU Training,Enterprise,11160
2023-07-07,GPU Training,Mid-Market,4120
2023-07-07,GPU Training,Startup,1858
2023-07-07,GPU Training,Research/Academic,2911
2023-07-07,GPU Inference,Enterprise,7598
2023-07-07,GPU Inference,Mid-Market,3703
2023-07-07,GPU Inference,Startup,2043
2023-07-07,GPU Inference,Research/Academic,1222
2023-07-07,CPU Batch,Enterprise,5654
2023-07-07,CPU Batch,Mid-Market,2894
2023-07-07,CPU Batch,Startup,699
2023-07-07,CPU Batch,Research/Academic,1426
2023-07-07,CPU Interactive,Enterprise,4050
2023-07-07,CPU Interactive,Mid-Market,1736
2023-07-07,CPU Interactive,Startup,1240
2023-07-07,CPU Interactive,Research/Academic,2490
2023-07-08,GPU Training,Enterprise,8761
2023-07-08,GPU Training,Mid-Market,3045
2023-07-08,GPU Training,Startup,1362
2023-07-08,GPU Training,Research/Academic,2286
2023-07-08,GPU Inference,Enterprise,5449
2023-07-08,GPU Inference,Mid-Market,2371
2023-07-08,GPU Inference,Startup,1809
2023-07-08,GPU Inference,Research/Academic,790
2023-07-08,CPU Batch,Enterprise,3757
2023-07-08,CPU Batch,Mid-Market,1983
2023-07-08,CPU Batch,Startup,537
2023-07-08,CPU Batch,Research/Academic,1089
2023-07-08,CPU Interactive,Enterprise,2237
2023-07-08,CPU Interactive,Mid-Market,1110
2023-07-08,CPU Interactive,Startup,775
2023-07-08,CPU Interactive,Research/Academic,1227
2023-07-09,GPU Training,Enterprise,8204
2023-07-09,GPU Training,Mid-Market,2963
2023-07-09,GPU Training,Startup,1210
2023-07-09,GPU Training,Research/Academic,2003
2023-07-09,GPU Inference,Enterprise,5004
2023-07-09,GPU Inference,Mid-Market,2107
2023-07-09,GPU Inference,Startup,1132
2023-07-09,GPU Inference,Research/Academic,671
2023-07-09,CPU Batch,Enterprise,3398
2023-07-09,CPU Batch,Mid-Market,1780
2023-07-09,CPU Batch,Startup,569
2023-07-09,CPU Batch,Research/Academic,1058
2023-07-09,CPU Interactive,Enterprise,1897
2023-07-09,CPU Interactive,Mid-Market,872
2023-07-09,CPU Interactive,Startup,435
2023-07-09,CPU Interactive,Research/Academic,1189
2023-07-10,GPU Training,Enterprise,10870
2023-07-10,GPU Training,Mid-Market,4098
2023-07-10,GPU Training,Startup,1572
2023-07-10,GPU Training,Research/Academic,2949
2023-07-10,GPU Inference,Enterprise,7841
2023-07-10,GPU Inference,Mid-Market,3333
2023-07-10,GPU Inference,Startup,2042
2023-07-10,GPU Inference,Research/Academic,1031
2023-07-10,CPU Batch,Enterprise,5336
2023-07-10,CPU Batch,Mid-Market,2759
2023-07-10,CPU Batch,Startup,757
2023-07-10,CPU Batch,Research/Academic,1641
2023-07-10,CPU Interactive,Enterprise,3753
2023-07-10,CPU Interactive,Mid-Market,2002
2023-07-10,CPU Interactive,Startup,1058
2023-07-10,CPU Interactive,Research/Academic,2118
2023-07-11,GPU Training,Enterprise,11352
2023-07-11,GPU Training,Mid-Market,4214
2023-07-11,GPU Training,Startup,2297
2023-07-11,GPU Training,Research/Academic,2933
2023-07-11,GPU Inference,Enterprise,8168
2023-07-11,GPU Inference,Mid-Market,3254
2023-07-11,GPU Inference,Startup,2449
2023-07-11,GPU Inference,Research/Academic,1213
2023-07-11,CPU Batch,Enterprise,5839
2023-07-11,CPU Batch,Mid-Market,2932
2023-07-11,CPU Batch,Startup,726
2023-07-11,CPU Batch,Research/Academic,1519
2023-07-11,CPU Interactive,Enterprise,3962
2023-07-11,CPU Interactive,Mid-Market,1854
2023-07-11,CPU Interactive,Startup,1042
2023-07-11,CPU Interactive,Research/Academic,2550
2023-07-12,GPU Training,Enterprise,13176
2023-07-12,GPU Training,Mid-Market,4701
2023-07-12,GPU Training,Startup,1840
2023-07-12,GPU Training,Research/Academic,3358
2023-07-12,GPU Inference,Enterprise,8569
2023-07-12,GPU Inference,Mid-Market,3626
2023-07-12,GPU Inference,Startup,2148
2023-07-12,GPU Inference,Research/Academic,1323
2023-07-12,CPU Batch,Enterprise,6149
2023-07-12,CPU Batch,Mid-Market,3368
2023-07-12,CPU Batch,Startup,826
2023-07-12,CPU Batch,Research/Academic,1367
2023-07-12,CPU Interactive,Enterprise,3963
2023-07-12,CPU Interactive,Mid-Market,2352
2023-07-12,CPU Interactive,Startup,1550
2023-07-12,CPU Interactive,Research/Academic,2571
2023-07-13,GPU Training,Enterprise,12190
2023-07-13,GPU Training,Mid-Market,5154
2023-07-13,GPU Training,Startup,1636
2023-07-13,GPU Training,Research/Academic,3056
2023-07-13,GPU Inference,Enterprise,8354
2023-07-13,GPU Inference,Mid-Market,3478
2023-07-13,GPU Inference,Startup,2260
2023-07-13,GPU Inference,Research/Academic,1195
2023-07-13,CPU Batch,Enterprise,6129
2023-07-13,CPU Batch,Mid-Market,3340
2023-07-13,CPU Batch,Startup,817
2023-07-13,CPU Batch,Research/Academic,1588
2023-07-13,CPU Interactive,Enterprise,3961
2023-07-13,CPU Interactive,Mid-Market,2146
2023-07-13,CPU Interactive,Startup,1170
2023-07-13,CPU Interactive,Research/Academic,2430
2023-07-14,GPU Training,Enterprise,11416
2023-07-14,GPU Training,Mid-Market,4343
2023-07-14,GPU Training,Startup,1993
2023-07-14,GPU Training,Research/Academic,2819
2023-07-14,GPU Inference,Enterprise,7783
2023-07-14,GPU Inference,Mid-Market,3301
2023-07-14,GPU Inference,Startup,2077
2023-07-14,GPU Inference,Research/Academic,1252
2023-07-14,CPU Batch,Enterprise,6008
2023-07-14,CPU Batch,Mid-Market,3232
2023-07-14,CPU Batch,Startup,772
2023-07-14,CPU Batch,Research/Academic,1387
2023-07-14,CPU Interactive,Enterprise,3892
2023-07-14,CPU Interactive,Mid-Market,2000
2023-07-14,CPU Interactive,Startup,1208
2023-07-14,CPU Interactive,Research/Academic,2243
2023-07-15,GPU Training,Enterprise,9047
2023-07-15,GPU Training,Mid-Market,3445
2023-07-15,GPU Training,Startup,1842
2023-07-15,GPU Training,Research/Academic,2776
2023-07-15,GPU Inference,Enterprise,5257
2023-07-15,GPU Inference,Mid-Market,2343
2023-07-15,GPU Inference,Startup,1269
2023-07-15,GPU Inference,Research/Academic,771
2023-07-15,CPU Batch,Enterprise,3971
2023-07-15,CPU Batch,Mid-Market,2136
2023-07-15,CPU Batch,Startup,480
2023-07-15,CPU Batch,Research/Academic,928
2023-07-15,CPU Interactive,Enterprise,1992
2023-07-15,CPU Interactive,Mid-Market,1075
2023-07-15,CPU Interactive,Startup,576
2023-07-15,CPU Interactive,Research/Academic,1295
2023-07-16,GPU Training,Enterprise,8166
2023-07-16,GPU Training,Mid-Market,3160
2023-07-16,GPU Training,Startup,1035
2023-07-16,GPU Training,Research/Academic,1992
2023-07-16,GPU Inference,Enterprise,5353
2023-07-16,GPU Inference,Mid-Market,1975
2023-07-16,GPU Inference,Startup,1200
2023-07-16,GPU Inference,Research/Academic,845
2023-07-16,CPU Batch,Enterprise,3776
2023-07-16,CPU Batch,Mid-Market,1551
2023-07-16,CPU Batch,Startup,430
2023-07-16,CPU Batch,Research/Academic,861
2023-07-16,CPU Interactive,Enterprise,2006
2023-07-16,CPU Interactive,Mid-Market,875
2023-07-16,CPU Interactive,Startup,548
2023-07-16,CPU Interactive,Research/Academic,1240
2023-07-17,GPU Training,Enterprise,11482
2023-07-17,GPU Training,Mid-Market,4135
2023-07-17,GPU Training,Startup,1680
2023-07-17,GPU Training,Research/Academic,2677
2023-07-17,GPU Inference,Enterprise,7500
2023-07-17,GPU Inference,Mid-Market,3268
2023-07-17,GPU Inference,Startup,2169
2023-07-17,GPU Inference,Research/Academic,1074
2023-07-17,CPU Batch,Enterprise,5826
2023-07-17,CPU Batch,Mid-Market,3072
2023-07-17,CPU Batch,Startup,779
2023-07-17,CPU Batch,Research/Academic,1466
2023-07-17,CPU Interactive,Enterprise,3753
2023-07-17,CPU Interactive,Mid-Market,1876
2023-07-17,CPU Interactive,Startup,1035
2023-07-17,CPU Interactive,Research/Academic,2390
2023-07-18,GPU Training,Enterprise,11810
2023-07-18,GPU Training,Mid-Market,5165
2023-07-18,GPU Training,Startup,2167
2023-07-18,GPU Training,Research/Academic,3236
2023-07-18,GPU Inference,Enterprise,7720
2023-07-18,GPU Inference,Mid-Market,3239
2023-07-18,GPU Inference,Startup,2560
2023-07-18,GPU Inference,Research/Academic,1205
2023-07-18,CPU Batch,Enterprise,6001
2023-07-18,CPU Batch,Mid-Market,2609
2023-07-18,CPU Batch,Startup,880
2023-07-18,CPU Batch,Research/Academic,1522
2023-07-18,CPU Interactive,Enterprise,3870
2023-07-18,CPU Interactive,Mid-Market,1961
2023-07-18,CPU Interactive,Startup,1260
2023-07-18,CPU Interactive,Research/Academic,2528
2023-07-19,GPU Training,Enterprise,12285
2023-07-19,GPU Training,Mid-Market,4644
2023-07-19,GPU Training,Startup,1826
2023-07-19,GPU Training,Research/Academic,3328
2023-07-19,GPU Inference,Enterprise,8693
2023-07-19,GPU Inference,Mid-Market,3013
2023-07-19,GPU Inference,Startup,2223
2023-07-19,GPU Inference,Research/Academic,1231
2023-07-19,CPU Batch,Enterprise,6129
2023-07-19,CPU Batch,Mid-Market,2955
2023-07-19,CPU Batch,Startup,657
2023-07-19,CPU Batch,Research/Academic,1549
2023-07-19,CPU Interactive,Enterprise,4498
2023-07-19,CPU Interactive,Mid-Market,1889
2023-07-19,CPU Interactive,Startup,1405
2023-07-19,CPU Interactive,Research/Academic,2543
2023-07-20,GPU Training,Enterprise,12408
2023-07-20,GPU Training,Mid-Market,4349
2023-07-20,GPU Training,Startup,1810
2023-07-20,GPU Training,Research/Academic,3649
2023-07-20,GPU Inference,Enterprise,8398
2023-07-20,GPU Inference,Mid-Market,4077
2023-07-20,GPU Inference,Startup,2639
2023-07-20,GPU Inference,Research/Academic,1258
2023-07-20,CPU Batch,Enterprise,6496
2023-07-20,CPU Batch,Mid-Market,3129
2023-07-20,CPU Batch,Startup,896
2023-07-20,CPU Batch,Research/Academic,1474
2023-07-20,CPU Interactive,Enterprise,4323
2023-07-20,CPU Interactive,Mid-Market,2058
2023-07-20,CPU Interactive,Startup,1465
2023-07-20,CPU Interactive,Research/Academic,2440
2023-07-21,GPU Training,Enterprise,12259
2023-07-21,GPU Training,Mid-Market,4414
2023-07-21,GPU Training,Startup,2072
2023-07-21,GPU Training,Research/Academic,3335
2023-07-21,GPU Inference,Enterprise,8425
2023-07-21,GPU Inference,Mid-Market,3630
2023-07-21,GPU Inference,Startup,1813
2023-07-21,GPU Inference,Research/Academic,1152
2023-07-21,CPU Batch,Enterprise,5622
2023-07-21,CPU Batch,Mid-Market,2846
2023-07-21,CPU Batch,Startup,946
2023-07-21,CPU Batch,Research/Academic,1544
2023-07-21,CPU Interactive,Enterprise,3830
2023-07-21,CPU Interactive,Mid-Market,1839
2023-07-21,CPU Interactive,Startup,1194
2023-07-21,CPU Interactive,Research/Academic,2221
2023-07-22,GPU Training,Enterprise,8819
2023-07-22,GPU Training,Mid-Market,3487
2023-07-22,GPU Training,Startup,1578
2023-07-22,GPU Training,Research/Academic,2513
2023-07-22,GPU Inference,Enterprise,5002
2023-07-22,GPU Inference,Mid-Market,2466
2023-07-22,GPU Inference,Startup,1547
2023-07-22,GPU Inference,Research/Academic,837
2023-07-22,CPU Batch,Enterprise,4191
2023-07-22,CPU Batch,Mid-Market,1703
2023-07-22,CPU Batch,Startup,490
2023-07-22,CPU Batch,Research/Academic,1026
2023-07-22,CPU Interactive,Enterprise,2043
2023-07-22,CPU Interactive,Mid-Market,1210
2023-07-22,CPU Interactive,Startup,687
2023-07-22,CPU Interactive,Research/Academic,1447
2023-07-23,GPU Training,Enterprise,8306
2023-07-23,GPU Training,Mid-Market,3389
2023-07-23,GPU Training,Startup,1466
2023-07-23,GPU Training,Research/Academic,2286
2023-07-23,GPU Inference,Enterprise,5001
2023-07-23,GPU Inference,Mid-Market,2224
2023-07-23,GPU Inference,Startup,1251
2023-07-23,GPU Inference,Research/Academic,723
2023-07-23,CPU Batch,Enterprise,3348
2023-07-23,CPU Batch,Mid-Market,1733
2023-07-23,CPU Batch,Startup,509
2023-07-23,CPU Batch,Research/Academic,771
2023-07-23,CPU Interactive,Enterprise,1868
2023-07-23,CPU Interactive,Mid-Market,1044
2023-07-23,CPU Interactive,Startup,519
2023-07-23,CPU Interactive,Research/Academic,1092
2023-07-24,GPU Training,Enterprise,11431
2023-07-24,GPU Training,Mid-Market,4532
2023-07-24,GPU Training,Startup,1724
2023-07-24,GPU Training,Research/Academic,3329
2023-07-24,GPU Inference,Enterprise,7896
2023-07-24,GPU Inference,Mid-Market,3567
2023-07-24,GPU Inference,Startup,2285
2023-07-24,GPU Inference,Research/Academic,1357
2023-07-24,CPU Batch,Enterprise,5681
2023-07-24,CPU Batch,Mid-Market,2494
2023-07-24,CPU Batch,Startup,930
2023-07-24,CPU Batch,Research/Academic,1375
2023-07-24,CPU Interactive,Enterprise,3772
2023-07-24,CPU Interactive,Mid-Market,2064
2023-07-24,CPU Interactive,Startup,936
2023-07-24,CPU Interactive,Research/Academic,2111
2023-07-25,GPU Training,Enterprise,11175
2023-07-25,GPU Training,Mid-Market,4247
2023-07-25,GPU Training,Startup,1907
2023-07-25,GPU Training,Research/Academic,3278
2023-07-25,GPU Inference,Enterprise,8110
2023-07-25,GPU Inference,Mid-Market,3203
2023-07-25,GPU Inference,Startup,1705
2023-07-25,GPU Inference,Research/Academic,1188
2023-07-25,CPU Batch,Enterprise,5788
2023-07-25,CPU Batch,Mid-Market,3051
2023-07-25,CPU Batch,Startup,860
2023-07-25,CPU Batch,Research/Academic,1485
2023-07-25,CPU Interactive,Enterprise,4183
2023-07-25,CPU Interactive,Mid-Market,2068
2023-07-25,CPU Interactive,Startup,1307
2023-07-25,CPU Interactive,Research/Academic,2382
2023-07-26,GPU Training,Enterprise,12400
2023-07-26,GPU Training,Mid-Market,4773
2023-07-26,GPU Training,Startup,2094
2023-07-26,GPU Training,Research/Academic,3192
2023-07-26,GPU Inference,Enterprise,8433
2023-07-26,GPU Inference,Mid-Market,3575
2023-07-26,GPU Inference,Startup,2286
2023-07-26,GPU Inference,Research/Academic,1301
2023-07-26,CPU Batch,Enterprise,5603
2023-07-26,CPU Batch,Mid-Market,2777
2023-07-26,CPU Batch,Startup,681
2023-07-26,CPU Batch,Research/Academic,1253
2023-07-26,CPU Interactive,Enterprise,4097
2023-07-26,CPU Interactive,Mid-Market,2225
2023-07-26,CPU Interactive,Startup,1230
2023-07-26,CPU Interactive,Research/Academic,2655
2023-07-27,GPU Training,Enterprise,13055
2023-07-27,GPU Training,Mid-Market,5170
2023-07-27,GPU Training,Startup,1885
2023-07-27,GPU Training,Research/Academic,3671
2023-07-27,GPU Inference,Enterprise,8299
2023-07-27,GPU Inference,Mid-Market,3439
2023-07-27,GPU Inference,Startup,2163
2023-07-27,GPU Inference,Research/Academic,1082
2023-07-27,CPU Batch,Enterprise,5858
2023-07-27,CPU Batch,Mid-Market,2966
2023-07-27,CPU Batch,Startup,896
2023-07-27,CPU Batch,Research/Academic,1733
2023-07-27,CPU Interactive,Enterprise,4092
2023-07-27,CPU Interactive,Mid-Market,2230
2023-07-27,CPU Interactive,Startup,1154
2023-07-27,CPU Interactive,Research/Academic,2788
2023-07-28,GPU Training,Enterprise,11876
2023-07-28,GPU Training,Mid-Market,3960
2023-07-28,GPU Training,Startup,2030
2023-07-28,GPU Training,Research/Academic,2997
2023-07-28,GPU Inference,Enterprise,7727
2023-07-28,GPU Inference,Mid-Market,3232
2023-07-28,GPU Inference,Startup,2052
2023-07-28,GPU Inference,Research/Academic,1202
2023-07-28,CPU Batch,Enterprise,5859
2023-07-28,CPU Batch,Mid-Market,3027
2023-07-28,CPU Batch,Startup,827
2023-07-28,CPU Batch,Research/Academic,1632
2023-07-28,CPU Interactive,Enterprise,3896
2023-07-28,CPU Interactive,Mid-Market,1787
2023-07-28,CPU Interactive,Startup,1358
2023-07-28,CPU Interactive,Research/Academic,2387
2023-07-29,GPU Training,Enterprise,9517
2023-07-29,GPU Training,Mid-Market,3526
2023-07-29,GPU Training,Startup,1364
2023-07-29,GPU Training,Research/Academic,2465
2023-07-29,GPU Inference,Enterprise,5972
2023-07-29,GPU Inference,Mid-Market,2820
2023-07-29,GPU Inference,Startup,1567
2023-07-29,GPU Inference,Research/Academic,823
2023-07-29,CPU Batch,Enterprise,4110
2023-07-29,CPU Batch,Mid-Market,1859
2023-07-29,CPU Batch,Startup,550
2023-07-29,CPU Batch,Research/Academic,977
2023-07-29,CPU Interactive,Enterprise,2210
2023-07-29,CPU Interactive,Mid-Market,1033
2023-07-29,CPU Interactive,Startup,546
2023-07-29,CPU Interactive,Research/Academic,1147
2023-07-30,GPU Training,Enterprise,8166
2023-07-30,GPU Training,Mid-Market,3119
2023-07-30,GPU Training,Startup,1255
2023-07-30,GPU Training,Research/Academic,2625
2023-07-30,GPU Inference,Enterprise,5218
2023-07-30,GPU Inference,Mid-Market,2061
2023-07-30,GPU Inference,Startup,1466
2023-07-30,GPU Inference,Research/Academic,710
2023-07-30,CPU Batch,Enterprise,3337
2023-07-30,CPU Batch,Mid-Market,1714
2023-07-30,CPU Batch,Startup,488
2023-07-30,CPU Batch,Research/Academic,817
2023-07-30,CPU Interactive,Enterprise,1964
2023-07-30,CPU Interactive,Mid-Market,872
2023-07-30,CPU Interactive,Startup,570
2023-07-30,CPU Interactive,Research/Academic,1437
2023-07-31,GPU Training,Enterprise,11496
2023-07-31,GPU Training,Mid-Market,4752
2023-07-31,GPU Training,Startup,1755
2023-07-31,GPU Training,Research/Academic,3141
2023-07-31,GPU Inference,Enterprise,7672
2023-07-31,GPU Inference,Mid-Market,3356
2023-07-31,GPU Inference,Startup,1973
2023-07-31,GPU Inference,Research/Academic,1169
2023-07-31,CPU Batch,Enterprise,5547
2023-07-31,CPU Batch,Mid-Market,3014
2023-07-31,CPU Batch,Startup,877
2023-07-31,CPU Batch,Research/Academic,1470
2023-07-31,CPU Interactive,Enterprise,3724
2023-07-31,CPU Interactive,Mid-Market,1951
2023-07-31,CPU Interactive,Startup,1099
2023-07-31,CPU Interactive,Research/Academic,2517
2023-08-01,GPU Training,Enterprise,10887
2023-08-01,GPU Training,Mid-Market,4318
2023-08-01,GPU Training,Startup,1406
2023-08-01,GPU Training,Research/Academic,2734
2023-08-01,GPU Inference,Enterprise,8352
2023-08-01,GPU Inference,Mid-Market,3720
2023-08-01,GPU Inference,Startup,2046
2023-08-01,GPU Inference,Research/Academic,1029
2023-08-01,CPU Batch,Enterprise,5136
2023-08-01,CPU Batch,Mid-Market,2790
2023-08-01,CPU Batch,Startup,1038
2023-08-01,CPU Batch,Research/Academic,1489
2023-08-01,CPU Interactive,Enterprise,3894
2023-08-01,CPU Interactive,Mid-Market,2065
2023-08-01,CPU Interactive,Startup,1000
2023-08-01,CPU Interactive,Research/Academic,2410
2023-08-02,GPU Training,Enterprise,12329
2023-08-02,GPU Training,Mid-Market,4607
2023-08-02,GPU Training,Startup,2059
2023-08-02,GPU Training,Research/Academic,3319
2023-08-02,GPU Inference,Enterprise,8364
2023-08-02,GPU Inference,Mid-Market,3430
2023-08-02,GPU Inference,Startup,2560
2023-08-02,GPU Inference,Research/Academic,1360
2023-08-02,CPU Batch,Enterprise,5723
2023-08-02,CPU Batch,Mid-Market,2803
2023-08-02,CPU Batch,Startup,937
2023-08-02,CPU Batch,Research/Academic,1456
2023-08-02,CPU Interactive,Enterprise,4370
2023-08-02,CPU Interactive,Mid-Market,2011
2023-08-02,CPU Interactive,Startup,1491
2023-08-02,CPU Interactive,Research/Academic,2587
2023-08-03,GPU Training,Enterprise,12417
2023-08-03,GPU Training,Mid-Market,5176
2023-08-03,GPU Training,Startup,1796
2023-08-03,GPU Training,Research/Academic,2995
2023-08-03,GPU Inference,Enterprise,8008
2023-08-03,GPU Inference,Mid-Market,3720
2023-08-03,GPU Inference,Startup,1909
2023-08-03,GPU Inference,Research/Academic,1257
2023-08-03,CPU Batch,Enterprise,5824
2023-08-03,CPU Batch,Mid-Market,3233
2023-08-03,CPU Batch,Startup,599
2023-08-03,CPU Batch,Research/Academic,1389
2023-08-03,CPU Interactive,Enterprise,3967
2023-08-03,CPU Interactive,Mid-Market,2011
2023-08-03,CPU Interactive,Startup,1325
2023-08-03,CPU Interactive,Research/Academic,2592
2023-08-04,GPU Training,Enterprise,11620
2023-08-04,GPU Training,Mid-Market,4383
2023-08-04,GPU Training,Startup,1836
2023-08-04,GPU Training,Research/Academic,2844
2023-08-04,GPU Inference,Enterprise,8007
2023-08-04,GPU Inference,Mid-Market,3606
2023-08-04,GPU Inference,Startup,2305
2023-08-04,GPU Inference,Research/Academic,1192
2023-08-04,CPU Batch,Enterprise,5856
2023-08-04,CPU Batch,Mid-Market,3346
2023-08-04,CPU Batch,Startup,769
2023-08-04,CPU Batch,Research/Academic,1403
2023-08-04,CPU Interactive,Enterprise,3761
2023-08-04,CPU Interactive,Mid-Market,1811
2023-08-04,CPU Interactive,Startup,1012
2023-08-04,CPU Interactive,Research/Academic,2236
2023-08-05,GPU Training,Enterprise,8925
2023-08-05,GPU Training,Mid-Market,3460
2023-08-05,GPU Training,Startup,1375
2023-08-05,GPU Training,Research/Academic,2210
2023-08-05,GPU Inference,Enterprise,5647
2023-08-05,GPU Inference,Mid-Market,2538
2023-08-05,GPU Inference,Startup,1512
2023-08-05,GPU Inference,Research/Academic,757
2023-08-05,CPU Batch,Enterprise,3945
2023-08-05,CPU Batch,Mid-Market,1961
2023-08-05,CPU Batch,Startup,436
2023-08-05,CPU Batch,Research/Academic,954
2023-08-05,CPU Interactive,Enterprise,2165
2023-08-05,CPU Interactive,Mid-Market,1010
2023-08-05,CPU Interactive,Startup,665
2023-08-05,CPU Interactive,Research/Academic,1181
2023-08-06,GPU Training,Enterprise,8857
2023-08-06,GPU Training,Mid-Market,3461
2023-08-06,GPU Training,Startup,1245
2023-08-06,GPU Training,Research/Academic,2268
2023-08-06,GPU Inference,Enterprise,4470
2023-08-06,GPU Inference,Mid-Market,2009
2023-08-06,GPU Inference,Startup,1346
2023-08-06,GPU Inference,Research/Academic,661
2023-08-06,CPU Batch,Enterprise,3405
2023-08-06,CPU Batch,Mid-Market,1908
2023-08-06,CPU Batch,Startup,386
2023-08-06,CPU Batch,Research/Academic,769
2023-08-06,CPU Interactive,Enterprise,1865
2023-08-06,CPU Interactive,Mid-Market,1039
2023-08-06,CPU Interactive,Startup,484
2023-08-06,CPU Interactive,Research/Academic,1167
2023-08-07,GPU Training,Enterprise,12049
2023-08-07,GPU Training,Mid-Market,3770
2023-08-07,GPU Training,Startup,1469
2023-08-07,GPU Training,Research/Academic,2841
2023-08-07,GPU Inference,Enterprise,7426
2023-08-07,GPU Inference,Mid-Market,3553
2023-08-07,GPU Inference,Startup,2212
2023-08-07,GPU Inference,Research/Academic,961
2023-08-07,CPU Batch,Enterprise,5744
2023-08-07,CPU Batch,Mid-Market,2710
2023-08-07,CPU Batch,Startup,881
2023-08-07,CPU Batch,Research/Academic,1329
2023-08-07,CPU Interactive,Enterprise,3604
2023-08-07,CPU Interactive,Mid-Market,1928
2023-08-07,CPU Interactive,Startup,1230
2023-08-07,CPU Interactive,Research/Academic,2371
2023-08-08,GPU Training,Enterprise,11003
2023-08-08,GPU Training,Mid-Market,4619
